id,created_at,text,retweet_count,favorite_count,media_count,url_count
894596984836935681,2017-08-07 16:31:56,"RT @syahiraruzaimi: I pray to Allah ﷻ
that I am not the source of someone else's sadness.",10,0,0,0
894596910891364352,2017-08-07 16:31:39,RT @dismiss: you knew i was fragile but you dropped me anyway,7071,0,0,0
894341610003148800,2017-08-06 23:37:10,RT @AbrarUlHaqPK: Catch me at big johns mela this Sunday I will be performing all you favourite songs of mine https://t.co/vKORrMaZSF,17,0,1,0
894340777396056064,2017-08-06 23:33:52,Birmingham mela was ABSOLUTELY lit 💃,1,2,0,0
894340630473736192,2017-08-06 23:33:17,RT @poeticallyIost: im losing my mind but i look like im fine,3410,0,0,0
894340582386130949,2017-08-06 23:33:05,RT @chooses: do you ever go to sleep really early because you're bored and want the day to end,654,0,0,0
893954955589148672,2017-08-05 22:00:44,I ship Amelia and Chad OMG😍😂 she is great and he IS hawt😏,0,0,0,0
893951117289246722,2017-08-05 21:45:29,Celebrity Big Brother💆‍♀️,0,0,0,0
893761745797435392,2017-08-05 09:13:00,"RT @ayibeebee: Appreciate the food your mother cooks for you. 

Some don't have food...

Others don't have mothers.",2550,0,0,0
893559302916521984,2017-08-04 19:48:34,"RT @anthonyfjoshua: Bantz aside, I hope you guys can resolve your situation or this is a hack as we have never even met! Plus I like my wom…",50021,0,0,0
893482338352472064,2017-08-04 14:42:44,RT @amirkingkhan: Left my family and friends for this Faryal. I'm not hurt but another fighter. I'm making it public. You getting the divor…,13254,0,0,0
893482295918817282,2017-08-04 14:42:34,RT @amirkingkhan: So me and the wife Faryal have agreed to split. I'm currently in Dubai. Wish her all the best.,7751,0,0,0
893239153806249984,2017-08-03 22:36:24,Trampoline park @AirspaceUK was great but the 2nd attempt at a back flip wasn't so great😤 Great fun though😅🕺,0,0,0,0
893238844862201856,2017-08-03 22:35:10,"RT @GAY4_RIHANNA: Gotta learn how to vibe alone, can't live your life depending on other ppls energy. u have the ability to be self suffici…",9300,0,0,0
893123017886375936,2017-08-03 14:54:55,RT @soliditary: Listen without defending; speak without offending.,1094,0,0,0
893123000647770112,2017-08-03 14:54:51,RT @soIute: one day you'll realize how much i cared,1720,0,0,0
893054225189662721,2017-08-03 10:21:34,RT @Iunacy: life is like a dream https://t.co/V6Kv1OvCLl,11786,0,1,0
893054206218825728,2017-08-03 10:21:29,"RT @Poetrydrugs: i hate getting so sad to the point where my body completely shuts down, and all i can do is just lay there and think about…",6959,0,0,0
891788375115661316,2017-07-30 22:31:31,"RT @dismiss: i like to pretend that everything's okay. because when everyone else thinks you're fine, sometimes you forget for a while that…",8725,0,0,0
891240191310131200,2017-07-29 10:13:14,RT @ShamlessHD: Me every morning https://t.co/9YT8RuXrDd,1011,0,1,0
890882350128680960,2017-07-28 10:31:18,RT @XANMAN: people don't notice the things we do for them until we stop doing them,2074,0,0,0
890559436162572288,2017-07-27 13:08:10,RT @fiImpoetry: freaks and geeks (1999) https://t.co/5k6IRvyzjk,1636,0,1,0
890559405153976320,2017-07-27 13:08:02,"RT @deIicasy: ""13 reasons why taught me that i need to be kind to everyone""
you needed...a tv show...to know that....? https://t.co/emKKaof…",10288,0,0,0
890559376955764743,2017-07-27 13:07:55,RT @selves: people need to realize that there are days when you’re not in the mood to talk or interact with anyone,2942,0,0,0
890559174681210880,2017-07-27 13:07:07,RT @TayWest: ”Why do you take so long in the shower??” https://t.co/TRJDwI9OLv,7617,0,1,0
890495918692290561,2017-07-27 08:55:46,RT @socutesexts: https://t.co/7HvQdyAe2m,1087,0,1,0
890495814816157696,2017-07-27 08:55:21,"RT @nonIethal: it's funny how many ""friends"" you lose when you stop reaching out to them first",2091,0,0,0
890495766657204225,2017-07-27 08:55:10,"RT @Fiseebililah_: Start with Allahﷻ. Stay with Allahﷻ. End with Allahﷻ.",136,0,0,0
890495748940451840,2017-07-27 08:55:05,RT @2218Yasir: Dear Allah please guide our decisions and help us to identify Haq in this age of confusions.,155,0,0,0
890495668913098752,2017-07-27 08:54:46,RT @soliditary: Knowledge is knowing a tomato is a fruit; Wisdom is not putting it in a fruit salad.,931,0,0,0
889648060460142593,2017-07-25 00:46:41,"They were never there when i needed them, so whats new now",0,1,0,0
889647830926753793,2017-07-25 00:45:46,Look out for # 1 (yourself) because people are unreliable.,0,0,0,0
889647715637919746,2017-07-25 00:45:18,but everyones hurt me to the point where I'd  much rather keep it within me than see someone else leave because its safer that way,0,0,0,0
889647517171843080,2017-07-25 00:44:31,I could literally tweet and reblog on tumblr into oblivion but no one would notice. Or maybe the select few will -,0,1,0,0
889646296843374592,2017-07-25 00:39:40,@softsleepypoet Im good,0,0,0,0
889642255891517440,2017-07-25 00:23:37,Maybe i will kill myself and actually succeed🙃,0,1,0,0
889511680400650240,2017-07-24 15:44:45,RT @meganreid84: I am fucking SICK of seeing people saying suicide is selfish. I hope to god they don't ever suffer from depression or ment…,17,0,0,0
889511656295981056,2017-07-24 15:44:39,"RT @dinatokio: Oh wow, spare bed on the NHS https://t.co/DYz9gd3Taw",122,0,1,0
889174497777131520,2017-07-23 17:24:54,Megans a bitch,2,3,0,0
889174430118690816,2017-07-23 17:24:38,RT @kirandhillonn: ain't got time for that fake love shit,142,0,0,0
888723133699678209,2017-07-22 11:31:21,"RT @seqeul: a guy: ur pretty
me: k thnx
a girl: ur pretty
me: OMG THANK U I LOVE U UR WAY PRETTIER",1524,0,0,0
888568969778561024,2017-07-22 01:18:45,@JakeJMitchell I love Eloise 👭 @eloisemitchellx,0,0,0,0
888565441798578176,2017-07-22 01:04:44,"2:03am and watching @JakeJMitchell at this time but being a good 20yo sister that i am,  i woke my little sister up… https://t.co/h4cIJcj99b",0,0,0,1
888563558182604800,2017-07-22 00:57:15,I just entered @JakeJMitchell 's NEW PS4 Giveaway! #JakeMGiveaway RT! https://t.co/HeqsnpBpYT,0,0,0,1
888563522396839936,2017-07-22 00:57:07,RT @JakeJMitchell: BRAND NEW PS4 SILVER EDITION GIVEAWAY STARTS THIS WEDNESDAY!,3526,0,0,0
888562709041754112,2017-07-22 00:53:53,RT @JakeJMitchell: What's In The BOX Challenge with my SISTER! (ANIMALS) https://t.co/mSLY7sBf76,139,0,0,1
888369084018163714,2017-07-21 12:04:29,RT @Thegreatkhaalid: i just keep quiet and let shit be,16987,0,0,0
